Country,Country Code,Year,"Exchange rate, new LCU per USD extended backward, period average,,","Exchange rate, old LCU per USD extended forward, period average,,","GDP,current LCU,millions,seas. adj.,","GDP,current US$,millions,seas. adj.,","Official exchange rate, LCU per USD, period average,,","Stock Markets, LCU,,,","Stock Markets, US$,,,","Unemployment rate,Percent,,,"
Belgium,BEL,2016,0.90433493697,36.48252791042,428467.0,473917.93192938,36.48252791042,137.24399572322,106.37880303767,7.85032055142
Belgium,BEL,2017,0.88690836099,35.78372265271,443407.0,500990.360287779,35.78372265271,153.75476149675,121.90990069854,7.09727135587
Belgium,BEL,2018,0.84676949126,34.15983366206,459492.0,542884.701198789,34.15983366206,149.72358896277,124.2088102548,5.95852129727
Belgium,BEL,2019,0.8930961998,36.02862839027,479444.0,536810.712912216,36.02862839027,144.79874057973,113.5945264311,5.36606483529
Belgium,BEL,2020,0.87738382839,35.39458272163,463751.0,529771.136372623,35.39458272163,135.47818123691,108.41226846296,5.53151184042
Belgium,BEL,2021,0.84518008154,34.09752395108,506047.0,598669.535260557,34.09752395108,161.87884156607,134.21606614604,6.27450145253
Belgium,BEL,2022,0.95094414865,38.36307976975,563710.0,593188.046381127,38.36307976975,152.21822010458,112.71393833356,5.57959636182
Belgium,BEL,2023,0.92466452082,37.30298468674,596202.0,644801.476417231,37.30298468674,146.26109767983,110.87118194226,5.52733854023
Belgium,BEL,2024,0.92438891162,37.2922759058,613984.0,664269.012821625,37.2922759058,158.26546213247,120.00874440128,5.69913406208
Belgium,BEL,2025,0.8924481679372728,36.00322178053909,209438.0,228821.0623364007,36.00322178053909,179.54859447674272,141.47994356584184,6.01874498221875
Bosnia and Herzegovina,BIH,2015,1.76192715473,1.76192715473,28578.5246480734,16219.5327475982,1.76192715473,80.33764354947,62.52533042681,27.7
Bosnia and Herzegovina,BIH,2016,1.76891937351,1.76891937351,29897.4499845549,16904.1934220686,1.76891937351,65.24664038487,50.620707506,25.4
Bosnia and Herzegovina,BIH,2017,1.73475857846,1.73475857846,31371.6823302673,18134.1689704476,1.73475857846,52.4222509227,41.3789022783,20.5
Bosnia and Herzegovina,BIH,2018,1.66230261379,1.66230261379,33952.1866674934,20433.0642577784,1.66230261379,41.0984317563,33.95961253889,18.4
Bosnia and Herzegovina,BIH,2019,1.75105902464,1.75105902464,35796.4479490299,20441.6360410691,1.75105902464,44.74593203977,34.99635775462,15.7
Bosnia and Herzegovina,BIH,2020,1.71705885995,1.71705885995,34761.1374085199,20278.6648204275,1.71705885995,52.10835948404,41.65185195127,15.9
Bosnia and Herzegovina,BIH,2021,1.65386530013,1.65386530013,39125.4097035041,23650.8469984505,1.65386530013,51.58007757632,42.76867815476,17.4
Bosnia and Herzegovina,BIH,2022,1.85993069162,1.85993069162,45575.8454322431,24507.1036843111,1.85993069162,46.76561209632,34.56124569809,15.4
Bosnia and Herzegovina,BIH,2023,1.80866069095,1.80866069095,49906.2555268793,27593.8287398848,1.80866069095,43.92043583276,33.28756470226,13.2
Bosnia and Herzegovina,BIH,2024,1.8080959596,1.8080959596,53520.705196918,29603.1840157108,1.8080959596,33.62597617035,25.49962883241,12.6
Bosnia and Herzegovina,BIH,2025,1.7456497995490907,1.7456497995490907,18488.37843894927,10328.576881243267,1.7456497995490907,27.89071573453,21.901146466820908,12.6
Brazil,BRA,2015,3.33169432039,3.33169432039,5995589.21168484,1821998.01000451,3.33169432039,72.58238016373,39.60443985033,8.41913675462
Brazil,BRA,2016,3.48671460269,3.48671460269,6267555.93337071,1809111.98021892,3.48671460269,77.43924095157,40.12143259909,11.38619665501
Brazil,BRA,2017,3.19025544806,3.19025544806,6584020.36262081,2063826.16518016,3.19025544806,99.31607527907,55.3773036423,12.86360804305
Brazil,BRA,2018,3.65412729965,3.65412729965,7002718.20220842,1925539.77011859,3.65412729965,119.23452751769,58.52277585804,12.35595638479
Brazil,BRA,2019,3.94461107504,3.94461107504,7387624.70159459,1873680.63552783,3.94461107504,146.8797398333,66.22938468657,12.02370749004
Brazil,BRA,2020,5.1575865942,5.1575865942,7606321.20886465,1485150.74608081,5.1575865942,144.06155951015,50.49912904749,13.50163120612
Brazil,BRA,2021,5.39608728041,5.39608728041,9010179.88023886,1670594.01880322,5.39608728041,170.41052570193,56.35188599539,13.49302656029
Brazil,BRA,2022,5.16522384834,5.16522384834,10073539.9523144,1951633.62054935,5.16522384834,159.9459059469,55.22904627075,9.50138040429
Brazil,BRA,2023,4.99407447534,4.99407447534,10939297.2504687,2192322.08709198,4.99407447534,166.63838711564,59.46461053744,8.04419433827
Brazil,BRA,2024,5.39255739225,5.39255739225,11739061.8984719,2182078.62765872,5.39255739225,186.88733008103,61.92664738346,6.91580357669
Brazil,BRA,2025,5.6250659498463635,5.6250659498463635,4181326.749942653,727290.1588769133,5.6250659498463635,195.4720475655009,61.994537130110004,6.172616758025556
Bulgaria,BGR,2015,1.76185331113,1.76185331113,89460.4086725496,50773.2841017189,1.76185331113,109.71717879555,85.39853917833,10.06
Bulgaria,BGR,2016,1.7689575471,1.7689575471,95247.2810844328,53846.6299322402,1.7689575471,109.98055397745,85.12998540796,8.68666666667
Bulgaria,BGR,2017,1.73477200622,1.73477200622,102528.358085025,59267.1897733109,1.73477200622,153.46094308301,121.7569786817,7.19916666667
Bulgaria,BGR,2018,1.65631781984,1.65631781984,109529.684053301,66131.6790978196,1.65631781984,148.46380110986,123.17938829723,6.17416666667
Bulgaria,BGR,2019,1.74706458294,1.74706458294,119909.449590085,68637.8013757239,1.74706458294,132.28416471766,103.81626282015,5.65083333333
Bulgaria,BGR,2020,1.71635753929,1.71635753929,120918.830587308,70598.5705209509,1.71635753929,106.7516182491,85.20527082579,7.35916666667
Bulgaria,BGR,2021,1.6532315088,1.6532315088,139049.018355158,84072.0134756415,1.6532315088,126.46990360931,104.75876015623,5.52083333333
Bulgaria,BGR,2022,1.86007995051,1.86007995051,167488.119635688,90007.7102357587,1.86007995051,140.6434680101,103.95406205602,4.49666666667
Bulgaria,BGR,2023,1.80860200471,1.80860200471,184920.729869531,102242.573645267,1.80860200471,157.35484378153,119.24351291925,5.28
Bulgaria,BGR,2024,1.80812420164,1.80812420164,202536.571037068,112019.64118821,1.80812420164,193.23378770813,146.57169833061,5.43916666667
Bulgaria,BGR,2025,1.7455796743827272,1.7455796743827272,71219.99645313533,39812.625372955066,1.7455796743827272,226.2273313039973,178.5718460988209,5.265555555556
Canada,CAN,2015,1.27892111295,1.27892111295,1990441.0,1558123.95301372,1.27892111295,122.99886105695,100.62046067397,7.0
Canada,CAN,2016,1.32508414976,1.32508414976,2025535.0,1529504.81167371,1.32508414976,120.46762234811,94.99256922556,7.05
Canada,CAN,2017,1.2981737246,1.2981737246,2140641.0,1650650.78618526,1.2981737246,133.41129342113,107.28922248897,6.41666666667
Canada,CAN,2018,1.29661636013,1.29661636013,2235675.0,1724515.43691367,1.29661636013,135.01054549753,108.68252028098,5.83333333333
Canada,CAN,2019,1.32703404542,1.32703404542,2313563.0,1743521.11262506,1.32703404542,140.05082752068,110.08820667142,5.68333333333
Canada,CAN,2020,1.34154679442,1.34154679442,2220527.0,1657879.73836474,1.34154679442,137.56798832018,107.27535149942,9.74166666667
Canada,CAN,2021,1.25349397861,1.25349397861,2535818.0,2023161.75730425,1.25349397861,169.99020830732,141.47217809002,7.48333333333
Canada,CAN,2022,1.30159677403,1.30159677403,2850940.0,2191536.3679792,1.30159677403,173.12551924138,138.98451776081,5.25
Canada,CAN,2023,1.34943940453,1.34943940453,2933810.0,2174077.37260357,1.34943940453,172.59770428661,133.42168901249,5.38333333333
Canada,CAN,2024,1.36992945056,1.36992945056,3072346.0,2242676.22386633,1.36992945056,195.53415931814,148.79587317627,6.375
Canada,CAN,2025,1.3990665255036363,1.3990665255036363,1056278.0,749286.7679531366,1.3990665255036363,228.74866749378452,170.6748960621818,6.866666666666999
Chile,CHL,2015,654.35474233584,654.35474233584,158613190.989621,242921.077014338,654.35474233584,102.8597926507,79.12897852978,6.3948743907
Chile,CHL,2016,676.79763754891,676.79763754891,168700114.482233,249441.810055008,676.79763754891,106.34251185188,78.8903355566,6.64068756094
Chile,CHL,2017,648.50438129016,648.50438129016,179224417.637996,276556.142388961,648.50438129016,131.01754872264,101.44066345034,6.93646768849
Chile,CHL,2018,642.17290609773,642.17290609773,189309827.610213,295423.914341991,642.17290609773,144.50374201352,113.34581129392,7.33925967412
Chile,CHL,2019,703.14615420117,703.14615420117,195513677.524189,278679.225151905,703.14615420117,134.22823498636,96.12138436726,7.22556952741
Chile,CHL,2020,792.19086827514,792.19086827514,200880120.617199,254089.779000808,792.19086827514,106.35194640362,67.49152329831,10.53781529045
Chile,CHL,2021,759.9125350137,759.9125350137,239330168.581241,315215.404752683,759.9125350137,118.21556278955,78.38978728506,9.11613894372
Chile,CHL,2022,873.18087885846,873.18087885846,263160490.429307,301902.105283934,873.18087885846,133.80659893704,76.95937483504,7.8045137437
Chile,CHL,2023,839.93293939786,839.93293939786,282029087.1593,336269.216763432,839.93293939786,151.33897618873,90.46011696739,8.64211753058
Chile,CHL,2024,944.5326159185,944.5326159185,311611453.202511,329919.742155067,944.5326159185,172.03514541292,91.34961689834,8.50062145165
Chile,CHL,2025,956.8178294379527,956.8178294379527,109984074.14651133,115220.87165361433,956.8178294379527,215.05167833299728,112.74730633546818,8.59603735086889
China,CHN,2015,6.28535870257,6.28535870257,70172675.2006827,11163825.2275062,6.28535870257,116.75173353287,126.97129134458,4.0465793065
China,CHN,2016,6.64506707454,6.64506707454,75992450.7688141,11434187.106846,6.64506707454,94.50398571295,97.05083341404,4.03600743655
China,CHN,2017,6.75744643311,6.75744643311,84577263.5224155,12525654.5494756,6.75744643311,102.37551433389,103.51874534019,3.94086130229
China,CHN,2018,6.6138529072,6.6138529072,93424670.7530494,14135162.5360302,6.6138529072,92.83905067531,96.33498940618,3.83267001527
China,CHN,2019,6.90992268257,6.90992268257,100426376.132822,14534157.7184861,6.90992268257,91.98372418909,90.92365776278,3.62591316235
China,CHN,2020,6.9021179638,6.9021179638,103068343.630076,14957789.4731931,6.9021179638,98.50821140921,97.68379274625,3.97891221394
China,CHN,2021,6.44979725359,6.44979725359,117239757.698759,18179981.8461545,6.44979725359,111.71375748934,118.29424420958,3.91006408493
China,CHN,2022,6.72963951772,6.72963951772,123413157.189433,18362509.281778,6.72963951772,101.74952189217,103.55423422481,5.6
China,CHN,2023,7.08044370376,7.08044370376,129421958.313688,18285444.7062507,7.08044370376,100.14441691106,96.67406271706,5.2
China,CHN,2024,7.19724754023,7.19724754023,134842961.684792,18735758.1490905,7.19724754023,96.39321158142,91.41177351625,5.1
China,CHN,2025,7.212943559193636,7.212943559193636,46377661.56599551,6392706.403403177,7.212943559193636,110.19479626657909,104.35576337985363,5.1
Colombia,COL,2015,2746.20729231759,2746.20729231759,804692000.0,295074.883557215,2746.20729231759,84.87995433599,62.16329579879,9.19866268656
Colombia,COL,2016,3050.63213367441,3050.63213367441,863783000.0,283721.968136162,3050.63213367441,80.06977736983,50.67177832049,9.54315708011
Croatia,HRV,2015,0.9007476221,6.85674722593,45947.8921406621,51014.0335494127,6.85674722593,81.25600455206,63.30007385443,17.03333333333
Croatia,HRV,2016,0.90433493697,6.81345031434,47549.9138202567,52589.8571839818,6.81345031434,82.86823081634,64.24562934848,14.94166666667
Croatia,HRV,2017,0.88690836099,6.61953961538,49665.7259942824,56142.043876948,6.61953961538,90.73321414796,71.74956295215,12.41666666667
Croatia,HRV,2018,0.84676949126,6.28299695174,52148.8815385395,61608.3567875615,6.28299695174,84.7813886798,70.32939294518,9.85833333333
Croatia,HRV,2019,0.8930961998,6.62510696131,54860.9181577252,61424.6149807256,6.62510696131,87.81641533381,68.93660946253,7.75
Croatia,HRV,2020,0.87738382839,6.61490671545,50962.9167771152,58169.9379960336,6.61490671545,78.69011362663,62.94864553977,8.98333333333
Croatia,HRV,2021,0.84518008154,6.36309588117,58294.0910551205,68955.3416849927,6.36309588117,90.60126115786,75.17428883057,8.09166666667
Croatia,HRV,2022,0.95094414865,7.16454285401,67508.1758849346,71000.2617053211,7.16454285401,94.68849772003,70.09314336541,6.775
Croatia,HRV,2023,0.92466452082,6.96732364268,77948.4656786162,84307.0263094804,6.96732364268,108.62585758127,82.425852126,6.225
Croatia,HRV,2024,0.92438891162,6.96533266046,85534.4184491351,92535.2245506274,6.96533266046,135.17532116266,102.57357293895,5.33333333333
Croatia,HRV,2025,0.8924481679372728,6.72455229249,29944.211892452233,32730.832593357234,6.72455229249,165.0400283112291,130.19139778492183,4.5875
Czech Republic,CZE,2015,24.57543681821,24.57543681821,4653860.0,189381.660014989,24.57543681821,84.39159836881,62.87018840903,5.04166666667
Czech Republic,CZE,2016,24.44888772411,24.44888772411,4841093.0,198047.734454238,24.44888772411,74.68666449941,55.94544295935,3.95
Czech Republic,CZE,2017,23.37119688746,23.37119688746,5185419.0,223021.873874613,23.37119688746,85.37056707324,67.32765240598,2.89166666667
Czech Republic,CZE,2018,21.72001883614,21.72001883614,5481381.0,252545.077348673,21.72001883614,92.14192886085,77.85109881916,2.24166666667
Czech Republic,CZE,2019,22.92571044255,22.92571044255,5891478.0,256968.343373015,22.92571044255,89.37021793375,71.37486680542,2.03333333333
Czech Republic,CZE,2020,23.20945788945,23.20945788945,5830004.0,251877.480831384,23.20945788945,78.85283119544,62.47995211462,2.55833333333
Czech Republic,CZE,2021,21.67475291776,21.67475291776,6306040.0,290924.237399,21.67475291776,101.84579770026,85.97028473744,2.8
Czech Republic,CZE,2022,23.3567511842,23.3567511842,7048420.0,301945.419295141,23.3567511842,108.36978937075,85.38816705467,2.4
Czech Republic,CZE,2023,22.19335121008,22.19335121008,7667915.0,345581.597610258,22.19335121008,114.24727641898,94.30176972413,2.61666666667
Czech Republic,CZE,2024,23.21952708843,23.21952708843,8055276.0,346934.160713974,23.21952708843,132.5804257502,104.54833282211,2.74166666667
Czech Republic,CZE,2025,22.118730696404548,22.118730696404548,2804302.6666666665,122608.72197331565,22.118730696404548,180.2389317905718,150.22420976642363,2.7875
Denmark,DNK,2015,6.7187612942,6.7187612942,2030206.0,302191.002679434,6.7187612942,233.46056198195,181.06540413316,4.55997370145
Denmark,DNK,2016,6.73351439337,6.73351439337,2101520.0,312159.206433402,6.73351439337,231.59546027261,179.55019815886,4.12913481442
Denmark,DNK,2017,6.59764963875,6.59764963875,2189589.0,332552.262474349,6.59764963875,253.85370432128,201.49105490295,4.19184877291
Denmark,DNK,2018,6.31160049117,6.31160049117,2243542.0,355660.993552563,6.31160049117,259.75979069228,214.96293687613,3.84852921287
Denmark,DNK,2019,6.66817472434,6.66817472434,2303637.0,345466.407825081,6.66817472434,269.73765502435,210.94019865527,3.67210935436
Denmark,DNK,2020,6.54118646951,6.54118646951,2326591.0,356445.832934483,6.54118646951,321.96554734601,257.95936045404,4.61686748499
Denmark,DNK,2021,6.28626566441,6.28626566441,2553261.0,406007.370634205,6.28626566441,424.13783660099,351.71012468581,3.59354997577
Denmark,DNK,2022,7.07495340752,7.07495340752,2831269.0,400579.421810396,7.07495340752,421.0302813864,311.36873786216,2.52922308714
Denmark,DNK,2023,6.88998816327,6.88998816327,2787930.0,404631.917148963,6.88998816327,477.78776445618,361.81896012945,2.77820567557
Denmark,DNK,2024,6.8953027519,6.8953027519,2926878.0,424453.520180078,6.8953027519,579.68997548775,438.80011342857,2.90915423296
Denmark,DNK,2025,6.659944092790909,6.659944092790909,993898.0,145493.848784794,6.659944092790909,433.65316298985726,339.2271953560991,2.905391847152222
Egypt Arab Rep.,EGY,2015,7.70160830503,7.70160830503,2711400.0,352010.146511525,7.70160830503,81.8753571924,58.05097810678,12.7660458108
Egypt Arab Rep.,EGY,2016,10.12403714224,10.12403714224,3154600.0,325185.32161686,10.12403714224,70.49411742045,39.6900154708,12.54059512896
Egypt Arab Rep.,EGY,2017,17.85035957142,17.85035957142,4283700.0,240052.938454982,17.85035957142,129.91467277293,39.67517681136,11.7929818772
Egypt Arab Rep.,EGY,2018,17.82444395516,17.82444395516,5141400.0,288355.11498505,17.82444395516,171.17721456774,52.30186830411,9.85827954843
Egypt Arab Rep.,EGY,2019,16.81978719846,16.81978719846,5922800.0,352857.456315037,16.81978719846,133.89537041339,43.2659984123,7.85954667426
